song,jazz
Ella Fitzgerald - It's Only A Paper Moon,0.164441
Hank Williams III - Crazed Country Rebel,0.163401
Les Paul & Mary Ford - How High The Moon,0.163274
Doc Watson - Liitle Orphan Girl (Live),0.162499
Tipica 73 - Cachita,0.162085
Josh White - Uncle Sam Says,0.162046
Passion - Glorious,0.161609
Dan Crary - Senso Unico,0.161189
Strauss. Richard - Eine Alpensinfonie (An Alpine Symphony) For Orchestra. Op. 64 (TrV 233),0.160967
The Beatles - Maxwell's Silver Hammer,0.160298
Bing Crosby - I Don't Know Why (live),0.158623
Steve Winwood - While You See A Chance,0.158596
Rachmaninov. Sergey - Piano Concerto No. 1 In F Sharp Minor. Op. 1,0.158473
James P. Johnson - You've Got To Be Modernistic,0.157989
Ryan Montbleau Band - Stretch,0.157964
Sharon Jones & The Dap-Kings - Nobody's Baby,0.156852
System F - Out Of The Blue,0.156439
Slim Harpo - You Can't Make It,0.155927
Lorie Line - Think Of Me,0.153807
Maynard Ferguson - Everybody Moan,0.153617
Josh White - One For My Baby,0.152902
2Pac (Tupac) - Against All Odds,0.152269
Antonio Carlos Jobim - Insensatez (How Insensitive),0.151958
Silberbart - Head Tear Of The Drunken Sun,0.151436
Antonio Carlos Jobim - The Girl From Ipanema,0.150801
Chopin. Fryderyk - Nocturnes (3) For Piano. Op. 9. Ct. 108-110,0.15079
Dean Martin - Everybody Loves Somebody,0.150473
Dean Martin - On The Street Where You Live,0.149805
Ella Fitzgerald - Darn That Dream,0.149786
Junior Brown - You Didn't Have To Go All The Way,0.149631
Dittersdorf. Karl Ditters von - Concerto For Harp. 2 Oboes. 2 Horns & Stringorchestra In A Major,0.148977
John Jacob Niles (Holiday) - Jesus. Jesus. Rest Your Head,0.148572
Zion - Zun Da Da,0.148425
Herman's Hermits - There's A Kind Of Hush,0.148288
Soda Stereo - Ella Uso Mi Cabeza Como Un Revolver,0.1481
AC?DC - Moneytalks,0.147463
Rosalia De Souza - Ao Amigo Tom,0.147314
Mose Andrews - Ten Pound Hammer,0.147048
RJD2 - Things Go Better,0.146734
The Rolling Stones - Complicated,0.146492
BBC Big Band Orchestra - I'm Getting Sentimental Over You,0.145225
2Pac (Tupac) - Death Around The Corner,0.145047
Sky Saxon - Love Dog,0.145011
Wumpscut - Opening The Gates Of Hell,0.144929
George Acosta - Another Way (Club Mix),0.144873
Boccherini. Luigi - Symphony In D Major. G. 509 (Op. 35?1),0.144484
Deuter - Sea And Silence,0.144368
David Grisman & Tony Rice - Swing '42,0.143368
Don Ross - Klimbim,0.143129
Daryl Coley - I Will Bless Your Name,0.142349
Lowell Fulson - I'm A Night Owl (Part 2),0.142052
Black Sheep - The Choice Is Yours (Revisited),0.1419
Johnny Adams - Not Trustworthy (A Lyin' Woman),0.141755
Bessie Smith (Holiday) - At The Christmas Ball,0.140713
Loquat - Slow Fast Wait & See,0.140693
Tommy Emmanuel - The Hunt,0.140647
Otis Spann - Mr. Highway Man,0.140587
Van Morrison - Domino,0.140486
The Animals - Don't Bring Me Down,0.140394
Tommy Johnson - Cool Drink Of Water Blues,0.140006
Bryan Lee - Just Like A Fish,0.139782
Arrested Development - Tennessee,0.139563
Doc Watson - Jimmy's Texas Blues (Live),0.13934
Roomful Of Blues (Holiday) - Have Yourself A Merry Little Christmas,0.13885
Tom Rush - Mole's Moan,0.138581
Howard Roberts - Watermelon Man,0.138427
Roni Size & Reprazent - Brown Paper Bag (Roni Size Full Rap Remix),0.138264
Cold Grits - It's Your Thing,0.138136
Antonio Vivaldi (Holiday) - Gloria In D Major. Et In Terra Pax,0.137817
!!! (Chk Chk Chk) - Hello? Is This Thing On,0.137608
The Beatles - Ob-La-Di. Ob-La-Da,0.13655
Doctor Ross - Tailor Made,0.134918
Tex Ritter - I've Found A New Baby (Instrumental),0.134605
Underworld - Born Slippy,0.134527
"Boccherini. Luigi - Symphony In D Minor (""La Casa Del Diavolo""). G. 506 (Op. 12?4)",0.13422
John Scofield - Drop And Roll,0.13391
Talib Kweli - I Try,0.133898
Dan The Automator - Champions (Instrumental),0.13377
Johannes Linstead - Cielo Azul,0.133558
Tony Bennett - The Best Man,0.133446
The Jam - Absolute Beginners,0.132096
Roni Size & Reprazent - Hi-Potent,0.131947
Public Enemy - Don't Believe The Hype,0.131711
Maria Bethania & Gal Gosta - Sonho Meu,0.131328
James Cotton - Blues For Jacklyn,0.131117
Johannes Linstead - La Rumbita,0.130437
The Clovers - Devil Or Angel,0.130345
Cherubini. Luigi - Symphony In D Major,0.129994
Naama Hillman - Falling,0.129764
Don Carlos & Golo - Tear Drops,0.128588
RJD2 - All For You,0.128559
Teddy Wilson - I've Got A Crush On You,0.128557
L.T.D. - Back In Love Again,0.127813
Bill Haley & His Comets - Shake. Rattle And Roll,0.125895
Reno & Smiley - I Saw Your Face In The Moon,0.12531
The Rolling Stones - I'm Free,0.124486
Bob Baldwin - I Wanna Be Where You Are,0.124468
Sam Bush - Spooky Lane,0.124385
